,index,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,PavedDrive,SaleCondition,Electrical,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GarageArea,GarageCars,BsmtHalfBath,BsmtFullBath,MasVnrArea,GarageYrBlt,LotFrontage,SaleType,Exterior1st,Exterior2nd,KitchenQual,Utilities,Functional,MSZoning,MasVnrType,BsmtFinType1,BsmtFinType2,BsmtExposure,BsmtQual,BsmtCond,GarageType,GarageFinish,GarageQual,GarageCond,FireplaceQu
423,424,60,9200,8,5,1998,1998,1470,1160,0,2630,2,1,4,1,8,1,0,66,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Gd,Y,Y,Normal,SBrkr,986.0,0.0,484.0,1470.0,696.0,3.0,0.0,1.0,473.0,1998.0,80.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Gd,TA,Attchd,Fin,TA,TA,TA
424,425,20,9000,6,5,1956,1956,1196,0,0,1196,1,0,2,1,6,1,0,44,0,0,0,0,0,5,2008,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,FuseA,616.0,0.0,580.0,1196.0,297.0,1.0,0.0,1.0,74.0,1956.0,72.0,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RL,BrkFace,LwQ,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
425,426,60,3378,7,8,1946,1992,707,682,0,1389,1,1,3,1,6,2,0,0,126,0,0,0,0,9,2009,Pave,Reg,HLS,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,P,Normal,SBrkr,0.0,0.0,651.0,651.0,240.0,1.0,0.0,0.0,0.0,1947.0,60.0,WD,HdBoard,HdBoard,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
426,427,80,12800,7,5,1989,1989,1644,0,0,1644,2,0,2,1,5,1,80,0,0,0,396,0,0,8,2009,Pave,Reg,Low,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,Gable,CompShg,Gd,TA,PConc,GasA,Gd,Y,Y,Normal,SBrkr,1518.0,0.0,0.0,1518.0,569.0,2.0,1.0,1.0,145.0,1989.0,78.0490493774414,WD,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,Gd,Gd,TA,Attchd,Fin,TA,TA,TA
427,428,20,8593,4,6,1957,1957,907,0,0,907,1,0,3,1,5,0,0,0,0,0,0,0,0,7,2008,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,288.0,0.0,619.0,907.0,352.0,1.0,0.0,0.0,0.0,1964.0,77.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,Rec,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
428,429,20,6762,7,5,2007,2007,1208,0,0,1208,2,0,2,1,6,0,105,54,0,0,0,0,0,9,2007,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,664.0,0.0,544.0,1208.0,628.0,2.0,0.0,1.0,108.0,2007.0,64.0,New,VinylSd,VinylSd,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
429,430,20,11457,6,5,1988,1988,1412,0,0,1412,2,0,3,1,6,1,0,0,169,0,0,0,0,3,2009,Pave,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,1005.0,0.0,387.0,1392.0,576.0,2.0,0.0,1.0,0.0,1988.0,130.0,WD,HdBoard,HdBoard,Gd,AllPub,Typ,RL,None,GLQ,Unf,Mn,Gd,TA,Attchd,Unf,TA,TA,TA
430,431,160,1680,6,5,1971,1971,483,504,0,987,1,1,2,1,4,0,0,0,0,0,0,0,0,7,2008,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Abnorml,SBrkr,387.0,0.0,96.0,483.0,264.0,1.0,0.0,0.0,232.0,1971.0,21.0,COD,HdBoard,HdBoard,TA,AllPub,Typ,RM,BrkFace,ALQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
431,432,50,5586,6,7,1920,1998,1088,110,0,1198,1,0,4,1,7,0,0,98,0,0,0,0,0,9,2008,Pave,IR1,Bnk,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,N,Abnorml,SBrkr,0.0,0.0,901.0,901.0,0.0,0.0,0.0,0.0,0.0,1953.36328125,60.0,ConLD,MetalSd,MetalSd,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
432,433,160,1920,5,5,1971,1971,765,600,0,1365,1,1,2,1,6,0,240,36,0,0,0,0,0,8,2007,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,471.0,0.0,294.0,765.0,440.0,2.0,0.0,1.0,376.0,1971.0,24.0,WD,HdBoard,HdBoard,TA,AllPub,Min1,RM,BrkFace,ALQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
433,434,60,10839,6,5,1997,1998,926,678,0,1604,2,1,3,1,7,1,0,36,0,0,0,0,0,7,2008,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,926.0,926.0,470.0,2.0,0.0,0.0,0.0,1997.0,100.0,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,None,Unf,Unf,No,Gd,TA,Attchd,Fin,TA,TA,TA
434,435,180,1890,4,7,1972,1972,630,0,0,630,1,0,1,1,3,0,88,0,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,495.0,0.0,135.0,630.0,0.0,0.0,0.0,1.0,0.0,1970.09375,21.0,WD,CemntBd,CmentBd,TA,AllPub,Typ,RM,None,ALQ,Unf,Av,Gd,TA,Detchd,Unf,TA,TA,Gd
435,436,60,10667,7,6,1996,1996,827,834,0,1661,2,1,3,1,6,1,158,61,0,0,0,0,0,4,2009,Pave,IR2,Lvl,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,385.0,344.0,70.0,799.0,550.0,2.0,0.0,1.0,0.0,1996.0,43.0,ConLw,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,GLQ,ALQ,Av,Gd,TA,Attchd,RFn,TA,TA,TA
436,437,50,4400,6,8,1920,1950,734,384,0,1118,1,0,2,1,6,0,0,0,0,0,0,0,0,10,2006,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,Y,Normal,FuseA,0.0,0.0,648.0,648.0,440.0,2.0,0.0,0.0,0.0,1990.0,40.0,WD,Stucco,Stucco,TA,AllPub,Typ,RM,None,Unf,Unf,No,Fa,TA,Detchd,Unf,TA,TA,Gd
437,438,45,6000,6,7,1926,2004,904,0,0,904,1,0,2,1,4,0,0,0,105,0,0,0,0,1,2009,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Gd,TA,PConc,GasA,Gd,Y,Y,Normal,SBrkr,0.0,0.0,884.0,884.0,180.0,1.0,0.0,0.0,0.0,1926.0,50.0,WD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
438,439,30,4280,5,6,1913,2002,694,0,0,694,1,0,2,1,4,1,0,0,34,0,0,0,0,3,2007,Pave,Reg,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,PConc,GasA,TA,N,P,Normal,SBrkr,365.0,0.0,75.0,440.0,352.0,1.0,0.0,0.0,0.0,1990.0,40.0,WD,WdShing,Stucco,Gd,AllPub,Typ,RL,None,LwQ,Unf,No,TA,TA,Detchd,Unf,Gd,TA,Gd
439,440,50,12354,6,8,1920,2000,684,512,0,1196,1,0,3,1,7,0,0,46,0,0,0,0,800,8,2009,Pave,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,Y,Normal,SBrkr,0.0,0.0,684.0,684.0,528.0,2.0,0.0,0.0,0.0,2005.0,67.0,ConLI,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RL,None,Unf,Unf,Mn,TA,Fa,Detchd,Unf,TA,TA,Gd
440,441,20,15431,10,5,2008,2008,2402,0,0,2402,2,0,2,1,10,2,0,72,0,0,170,0,0,4,2009,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,1767.0,539.0,788.0,3094.0,672.0,3.0,0.0,1.0,200.0,2008.0,105.0,WD,VinylSd,VinylSd,Ex,AllPub,Typ,RL,Stone,GLQ,ALQ,Gd,Ex,TA,Attchd,Fin,TA,TA,Gd
441,442,90,12108,4,4,1955,1955,1440,0,0,1440,2,0,4,2,8,0,0,0,0,0,0,0,0,9,2008,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,N,Y,Normal,FuseF,133.0,0.0,1307.0,1440.0,0.0,0.0,0.0,0.0,270.0,1956.7825927734373,92.0,WD,VinylSd,VinylSd,Fa,AllPub,Typ,RL,BrkFace,ALQ,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
442,443,50,6240,5,7,1930,1992,1128,445,0,1573,2,0,3,1,8,1,0,0,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,P,Normal,SBrkr,0.0,0.0,1078.0,1078.0,360.0,2.0,0.0,0.0,0.0,1930.0,52.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
443,444,120,3922,7,5,2006,2007,1258,0,0,1258,2,0,2,1,6,1,144,16,0,0,0,0,0,6,2007,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,0.0,0.0,1258.0,1258.0,648.0,3.0,0.0,0.0,72.0,2007.0,53.0,New,WdShing,Wd Shng,Gd,AllPub,Typ,RL,BrkFace,Unf,Unf,Av,Ex,TA,Attchd,Fin,TA,TA,Gd
444,445,60,8750,7,5,1994,1995,933,975,0,1908,2,1,4,1,8,1,144,133,0,0,0,0,0,7,2008,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,Gd,PConc,GasA,Ex,Y,Y,Normal,SBrkr,642.0,0.0,273.0,915.0,493.0,2.0,0.0,1.0,0.0,1994.0,70.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,GLQ,Unf,No,Gd,TA,Attchd,Unf,TA,TA,TA
445,446,20,9855,6,5,1956,1956,1689,0,0,1689,1,0,3,1,7,1,0,0,0,0,0,0,0,11,2009,Pave,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Fa,Y,Y,Normal,SBrkr,0.0,0.0,1436.0,1436.0,480.0,2.0,0.0,0.0,0.0,1956.0,73.0,COD,Wd Sdng,Wd Sdng,TA,AllPub,Typ,RL,None,Unf,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
446,447,20,16492,6,6,1966,2002,1888,0,0,1888,2,1,2,1,6,1,0,0,0,0,0,0,0,6,2010,Pave,IR1,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,247.0,713.0,557.0,1517.0,578.0,2.0,0.0,0.0,0.0,1966.0,137.0,WD,BrkFace,Plywood,Gd,AllPub,Mod,RL,None,ALQ,Rec,No,TA,TA,Attchd,Fin,TA,TA,Gd
447,448,60,11214,7,5,1998,1999,956,930,0,1886,2,1,4,1,10,1,89,0,0,0,0,0,0,7,2006,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Gd,Y,Y,Normal,SBrkr,0.0,0.0,930.0,930.0,431.0,2.0,0.0,0.0,0.0,1998.0,85.98884582519531,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,None,Unf,Unf,No,Gd,TA,Attchd,Fin,TA,TA,TA
448,449,50,8600,6,6,1937,1950,780,596,0,1376,2,0,3,1,7,1,0,0,0,0,0,0,0,6,2006,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,N,Normal,SBrkr,0.0,0.0,780.0,780.0,198.0,1.0,0.0,0.0,0.0,1937.0,50.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
449,450,50,6000,3,7,1948,2002,679,504,0,1183,1,1,2,1,6,0,0,176,0,0,0,0,0,6,2007,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,331.0,0.0,318.0,649.0,308.0,1.0,0.0,0.0,0.0,1981.0,50.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RM,None,ALQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
450,451,30,5684,6,8,1930,2005,813,0,0,813,1,0,2,1,5,0,0,113,0,0,0,0,0,6,2006,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,BrkTil,GasA,Ex,Y,N,Normal,FuseA,0.0,0.0,813.0,813.0,270.0,1.0,0.0,0.0,0.0,1932.0,70.0,WD,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,Fa,Fa,Gd
451,452,20,70761,7,5,1975,1975,1533,0,0,1533,2,0,2,1,5,2,200,54,0,0,0,0,0,12,2006,Pave,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,Gable,WdShngl,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,655.0,0.0,878.0,1533.0,576.0,2.0,0.0,1.0,0.0,1975.0,62.0,WD,Plywood,Plywood,Gd,AllPub,Typ,RL,None,ALQ,Unf,Gd,Gd,TA,Attchd,Unf,TA,TA,TA
452,453,60,9303,6,5,1996,1997,888,868,0,1756,2,1,3,1,7,0,144,122,0,0,0,0,0,7,2007,Pave,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,742.0,0.0,130.0,872.0,422.0,2.0,0.0,1.0,42.0,1996.0,79.31616973876953,WD,VinylSd,VinylSd,TA,AllPub,Typ,RL,BrkFace,ALQ,Unf,No,Ex,TA,Attchd,Fin,TA,TA,Gd
453,454,60,9000,8,5,2008,2008,786,804,0,1590,2,1,3,1,6,0,0,30,0,0,0,0,0,6,2009,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,768.0,768.0,676.0,2.0,0.0,0.0,0.0,2008.0,75.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,FV,None,Unf,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
454,455,90,9297,5,5,1976,1976,1728,0,0,1728,2,0,4,2,8,0,0,0,0,0,0,0,0,7,2006,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Family,SBrkr,1606.0,0.0,122.0,1728.0,560.0,2.0,0.0,2.0,0.0,1976.0,63.0,WD,Plywood,Plywood,TA,AllPub,Typ,RL,None,ALQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
455,456,20,9600,7,6,1973,1973,1242,0,0,1242,1,1,3,1,6,1,0,0,0,0,0,0,0,9,2007,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,TA,TA,CBlock,GasA,Fa,Y,Y,Normal,SBrkr,916.0,0.0,326.0,1242.0,528.0,2.0,0.0,0.0,320.0,1973.0,80.0,WD,HdBoard,HdBoard,TA,AllPub,Typ,RL,BrkFace,ALQ,Unf,No,TA,TA,Attchd,Unf,TA,TA,TA
456,457,70,4571,5,5,1916,1950,624,720,0,1344,1,0,4,1,7,0,0,0,96,0,0,0,0,5,2008,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,TA,TA,BrkTil,GasA,Fa,N,Y,Abnorml,SBrkr,0.0,0.0,624.0,624.0,513.0,3.0,0.0,0.0,0.0,1916.0,34.0,COD,AsbShng,AsbShng,TA,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,Fa,Fa,Gd
457,458,20,53227,4,6,1954,1994,1663,0,0,1663,1,0,2,1,6,2,224,137,0,0,0,0,0,3,2008,Pave,IR1,Low,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,1116.0,0.0,248.0,1364.0,529.0,2.0,0.0,1.0,0.0,1954.0,76.75559997558594,WD,Plywood,Plywood,Gd,AllPub,Min1,RL,None,BLQ,Unf,Gd,Gd,TA,Attchd,Fin,TA,TA,Gd
458,459,70,5100,8,7,1925,1996,833,833,0,1666,1,0,3,1,7,1,192,63,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Hip,CompShg,TA,Gd,PConc,GasA,Fa,Y,Y,Normal,SBrkr,0.0,0.0,588.0,588.0,228.0,1.0,0.0,0.0,0.0,1925.0,48.22921752929688,WD,Stucco,Wd Shng,Gd,AllPub,Typ,RM,None,Unf,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
459,460,50,7015,5,4,1950,1950,979,224,0,1203,1,0,3,1,5,1,0,0,248,0,0,0,0,7,2009,Pave,IR1,Bnk,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,185.0,0.0,524.0,709.0,352.0,1.0,0.0,1.0,161.0,1950.0,70.83491516113281,WD,MetalSd,MetalSd,Gd,AllPub,Typ,RL,BrkCmn,LwQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,TA
460,461,60,8004,8,5,2009,2009,832,1103,0,1935,2,1,3,1,8,0,0,150,0,0,0,0,0,12,2009,Pave,IR1,Lvl,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Partial,SBrkr,544.0,0.0,288.0,832.0,552.0,2.0,0.0,1.0,110.0,2009.0,75.0,New,VinylSd,VinylSd,TA,AllPub,Typ,FV,Stone,GLQ,Unf,No,Gd,TA,BuiltIn,Fin,TA,TA,Gd
461,462,70,7200,7,9,1936,2007,575,560,0,1135,1,0,3,1,6,0,256,0,0,0,0,0,0,4,2009,Pave,Reg,Lvl,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,Gable,CompShg,Gd,Gd,PConc,GasA,Ex,Y,Y,Normal,SBrkr,350.0,210.0,0.0,560.0,576.0,2.0,0.0,1.0,0.0,1971.0,60.0,WD,Wd Sdng,Wd Sdng,Gd,AllPub,Typ,RL,None,ALQ,BLQ,No,Gd,Gd,Detchd,RFn,TA,TA,Gd
462,463,20,8281,5,5,1965,1965,864,0,0,864,1,0,3,1,5,1,0,0,236,0,0,0,0,12,2009,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,Y,Normal,SBrkr,553.0,311.0,0.0,864.0,360.0,1.0,0.0,0.0,0.0,1965.0,60.0,WD,MetalSd,MetalSd,TA,AllPub,Typ,RL,None,Rec,BLQ,No,TA,TA,Detchd,Unf,TA,TA,Po
463,464,70,11988,6,7,1934,1995,849,811,0,1660,1,1,3,1,6,1,0,0,0,0,0,0,0,8,2008,Pave,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Hip,CompShg,TA,TA,CBlock,GasA,Fa,Y,Y,Normal,FuseA,326.0,0.0,389.0,715.0,240.0,1.0,0.0,0.0,0.0,1939.0,74.0,WD,Stucco,Stucco,TA,AllPub,Typ,RL,None,LwQ,Unf,No,TA,TA,Detchd,Unf,TA,TA,Gd
464,465,20,8430,5,5,1978,1978,1040,0,0,1040,2,0,3,1,5,0,0,0,0,0,0,0,0,8,2009,Pave,Reg,HLS,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,616.0,0.0,424.0,1040.0,0.0,0.0,0.0,0.0,136.0,1977.5994873046875,60.0,WD,HdBoard,HdBoard,TA,AllPub,Typ,RL,BrkFace,Rec,Unf,No,Gd,TA,Attchd,Unf,TA,TA,Gd
465,466,120,3072,7,5,2004,2004,1414,0,0,1414,2,0,2,1,6,1,144,20,0,0,0,0,0,5,2006,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1375.0,1375.0,398.0,2.0,0.0,0.0,18.0,2004.0,41.35388565063477,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RM,BrkFace,Unf,Unf,No,Gd,TA,Attchd,Fin,TA,TA,TA
466,467,20,10628,7,5,1970,1970,1277,0,0,1277,1,0,2,1,5,1,0,0,0,0,176,0,0,4,2007,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,TA,Gd,CBlock,GasA,TA,Y,Y,Normal,SBrkr,778.0,0.0,499.0,1277.0,526.0,2.0,0.0,1.0,0.0,1970.0,85.0,WD,Plywood,Plywood,TA,AllPub,Typ,RL,None,GLQ,Unf,Gd,TA,Gd,Attchd,Unf,TA,TA,Po
467,468,70,9480,5,7,1942,1995,888,756,0,1644,1,1,3,1,7,2,168,0,0,0,0,0,0,6,2007,Pave,Reg,Lvl,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,Y,Normal,SBrkr,386.0,0.0,342.0,728.0,312.0,1.0,0.0,0.0,224.0,1942.0,79.0,WD,MetalSd,MetalSd,Gd,AllPub,Typ,RL,Stone,LwQ,Unf,No,TA,TA,Attchd,Unf,TA,TA,Gd
468,469,20,11428,8,5,2006,2006,1634,0,0,1634,2,0,3,1,7,1,0,44,0,0,0,0,0,5,2007,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,0.0,0.0,1626.0,1626.0,866.0,3.0,0.0,0.0,248.0,2006.0,98.0,WD,VinylSd,VinylSd,Gd,AllPub,Typ,RL,Stone,Unf,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
469,470,60,9291,6,5,1993,1993,832,878,0,1710,2,1,3,1,7,0,144,70,0,0,0,0,0,6,2008,Pave,IR1,Lvl,Corner,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,426.0,0.0,406.0,832.0,506.0,2.0,0.0,0.0,120.0,1993.0,76.0,WD,HdBoard,HdBoard,Gd,AllPub,Typ,RL,BrkFace,GLQ,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
470,471,120,6820,8,5,1985,1985,1502,0,0,1502,1,1,1,1,4,0,0,54,0,0,140,0,0,6,2010,Pave,IR1,Lvl,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Gd,TA,PConc,GasA,TA,Y,Y,Normal,SBrkr,368.0,1120.0,0.0,1488.0,528.0,2.0,0.0,1.0,0.0,1985.0,55.4244499206543,WD,HdBoard,HdBoard,Gd,AllPub,Typ,RL,None,GLQ,BLQ,Av,Gd,TA,Attchd,RFn,TA,TA,Gd
471,472,60,11952,7,6,1977,1977,1161,808,0,1969,2,1,3,1,8,1,0,0,0,0,276,0,0,11,2007,Pave,Reg,Lvl,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,Mansard,WdShake,TA,TA,CBlock,GasA,TA,Y,Y,Normal,SBrkr,0.0,0.0,808.0,808.0,534.0,2.0,0.0,0.0,0.0,1977.0,92.0,WD,WdShing,Plywood,TA,AllPub,Typ,RL,None,Unf,Unf,No,Gd,TA,Attchd,RFn,TA,TA,Gd
472,473,180,3675,6,5,2005,2005,1072,0,0,1072,1,0,2,1,5,0,0,28,0,0,0,0,0,6,2008,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,Y,Normal,SBrkr,459.0,0.0,88.0,547.0,525.0,2.0,0.0,1.0,80.0,2005.0,35.0,WD,VinylSd,VinylSd,TA,AllPub,Typ,RM,BrkFace,GLQ,Unf,Gd,Gd,TA,Basment,RFn,TA,TA,Gd
